activity	subject	variable	mean
walking	2	tBodyGyroscopeJerkMeanX	-0.0818833429152542
walking	2	tBodyGyroscopeJerkMeanY	-0.0538299449067797
walking	2	tBodyGyroscopeJerkMeanZ	-0.0514939156830508
walking	2	tBodyGyroscopeJerkStdX	-0.389549831525424
walking	2	tBodyGyroscopeJerkStdY	-0.634140436101695
walking	2	tBodyGyroscopeJerkStdZ	-0.435492677288136
walking	2	tBodyAccelerationMagnitudeMean	-0.290407593728814
walking	2	tBodyAccelerationMagnitudeStd	-0.422544169322034
walking	2	tGravityAccelerationMagnitudeMean	-0.290407593728814
walking	2	tGravityAccelerationMagnitudeStd	-0.422544169322034
walking	2	tBodyAccelerationJerkMagnitudeMean	-0.281424153881356
walking	2	tBodyAccelerationJerkMagnitudeStd	-0.164150985127119
walking	2	tBodyGyroscopeMagnitudeMean	-0.446549092881356
walking	2	tBodyGyroscopeMagnitudeStd	-0.553019916271186
walking	2	tBodyGyroscopeJerkMagnitudeMean	-0.547911950338983
walking	2	tBodyGyroscopeJerkMagnitudeStd	-0.557798151355932
walking	2	fBodyAccelerationMeanX	-0.346048161016949
walking	2	fBodyAccelerationMeanY	-0.0219048103322034
walking	2	fBodyAccelerationMeanZ	-0.453806369830508
walking	2	fBodyAccelerationStdX	-0.457651383728814
walking	2	fBodyAccelerationStdY	-0.16921968620339
walking	2	fBodyAccelerationStdZ	-0.455222146440678
walking	2	fBodyAccelerationMeanFrequencyX	-0.14579548970339
walking	2	fBodyAccelerationMeanFrequencyY	0.198586466508475
walking	2	fBodyAccelerationMeanFrequencyZ	0.0688995208186441
walking	2	fBodyAccelerationJerkMeanX	-0.304615322881356
walking	2	fBodyAccelerationJerkMeanY	-0.0787640836610169
walking	2	fBodyAccelerationJerkMeanZ	-0.554956709661017
walking	2	fBodyAccelerationJerkStdX	-0.31431306340678
walking	2	fBodyAccelerationJerkStdY	-0.0153329520084746
walking	2	fBodyAccelerationJerkStdZ	-0.615898188474576
walking	2	fBodyAccelerationJerkMeanFrequencyX	-0.0727101584479661
walking	2	fBodyAccelerationJerkMeanFrequencyY	-0.263574018186441
walking	2	fBodyAccelerationJerkMeanFrequencyZ	-0.254846438755932
walking	2	fBodyGyroscopeMeanX	-0.429713536101695
walking	2	fBodyGyroscopeMeanY	-0.55477211220339
walking	2	fBodyGyroscopeMeanZ	-0.396659907457627
walking	2	fBodyGyroscopeStdX	-0.604053019152542
walking	2	fBodyGyroscopeStdY	-0.533046952542373
walking	2	fBodyGyroscopeStdZ	-0.559856635084746
walking	2	fBodyGyroscopeMeanFrequencyX	0.00727967988474576
walking	2	fBodyGyroscopeMeanFrequencyY	-0.0427009322372881
walking	2	fBodyGyroscopeMeanFrequencyZ	0.139752115269492
walking	2	fBodyAccelerationMagnitudeMean	-0.324289427932203
walking	2	fBodyAccelerationMagnitudeStd	-0.577105211694915
walking	2	fBodyAccelerationMagnitudeMeanFrequency	0.393206208305085
walking	2	fBodyBodyAccelerationJerkMagnitudeMean	-0.169064352813559
walking	2	fBodyBodyAccelerationJerkMagnitudeStd	-0.164091969449153
walking	2	fBodyBodyAccelerationJerkMagnitudeMeanFrequency	0.20750092670339
walking	2	fBodyBodyGyroscopeMagnitudeMean	-0.530704814745763
walking	2	fBodyBodyGyroscopeMagnitudeStd	-0.651792839661017
walking	2	fBodyBodyGyroscopeMagnitudeMeanFrequency	0.305283825254237
walking	2	fBodyBodyGyroscopeJerkMagnitudeMean	-0.583249293389831
walking	2	fBodyBodyGyroscopeJerkMagnitudeStd	-0.558104554745763
walking	2	fBodyBodyGyroscopeJerkMagnitudeMeanFrequency	0.126344614439492
walking	2	tBodyAccelerationMeanPLUSGravity	-0.0301017378813559
walking	2	tBodyAccelerationJerkMeanPLUSGravityMean	0.0534005800847458
walking	2	tBodyGyroscopeMeanPLUSGravityMean	0.0216196774508475
walking	2	tBodyGyroscopeJerkMeanPLUSGravityMean	-0.0858470827457627
walking	2	XPLUSGravityMean	-0.66195998
walking	2	YPLUSGravityMean	0.321443011864407
walking	2	ZPLUSGravityMean	-0.0368892833067797
walking	3	tBodyAccelerationMeanX	0.275567462068966
walking	3	tBodyAccelerationMeanY	-0.0171767844203448
walking	3	tBodyAccelerationMeanZ	-0.112674859827586
walking	3	tBodyAccelerationStdX	-0.360356726034483
walking	3	tBodyAccelerationStdY	-0.0699140652103448
walking	3	tBodyAccelerationStdZ	-0.387411994310345
walking	3	tGravityAccelerationMeanX	0.936506743275862
walking	3	tGravityAccelerationMeanY	-0.261986357931034
walking	3	tGravityAccelerationMeanZ	-0.138107866258621
walking	3	tGravityAccelerationStdX	-0.97777159137931
walking	3	tGravityAccelerationStdY	-0.962355639482759
walking	3	tGravityAccelerationStdZ	-0.952091795
walking	3	tBodyAccelerationJerkMeanX	0.0814745882660345
walking	3	tBodyAccelerationJerkMeanY	0.0100591485
walking	3	tBodyAccelerationJerkMeanZ	-0.00562264594827586
walking	3	tBodyAccelerationJerkStdX	-0.26867964387931
walking	3	tBodyAccelerationJerkStdY	-0.0449619594258621
walking	3	tBodyAccelerationJerkStdZ	-0.52948611637931
walking	3	tBodyGyroscopeMeanX	-0.0256405192517241
walking	3	tBodyGyroscopeMeanY	-0.0779150937413793
walking	3	tBodyGyroscopeMeanZ	0.0813485942827586
walking	3	tBodyGyroscopeStdX	-0.571869560172414
walking	3	tBodyGyroscopeStdY	-0.563793260172414
walking	3	tBodyGyroscopeStdZ	-0.476696411551724
walking	3	tBodyGyroscopeJerkMeanX	-0.0952398165017241
walking	3	tBodyGyroscopeJerkMeanY	-0.0387874651724138
walking	3	tBodyGyroscopeJerkMeanZ	-0.0503616100815517
walking	3	tBodyGyroscopeJerkStdX	-0.385922986034483
walking	3	tBodyGyroscopeJerkStdY	-0.639087984137931
walking	3	tBodyGyroscopeJerkStdZ	-0.536664080344828
walking	3	tBodyAccelerationMagnitudeMean	-0.254690333275862
walking	3	tBodyAccelerationMagnitudeStd	-0.328428936551724
walking	3	tGravityAccelerationMagnitudeMean	-0.254690333275862
walking	3	tGravityAccelerationMagnitudeStd	-0.328428936551724
walking	3	tBodyAccelerationJerkMagnitudeMean	-0.280009317413793
walking	3	tBodyAccelerationJerkMagnitudeStd	-0.139916355325862
walking	3	tBodyGyroscopeMagnitudeMean	-0.466411754137931
walking	3	tBodyGyroscopeMagnitudeStd	-0.561510683275862
walking	3	tBodyGyroscopeJerkMagnitudeMean	-0.566135217931034
walking	3	tBodyGyroscopeJerkMagnitudeStd	-0.567371560862069
walking	3	fBodyAccelerationMeanX	-0.316614011689655
walking	3	fBodyAccelerationMeanY	-0.0813024353275862
walking	3	fBodyAccelerationMeanZ	-0.412374074482759
walking	3	fBodyAccelerationStdX	-0.379276781206897
walking	3	fBodyAccelerationStdY	-0.124030832001724
walking	3	fBodyAccelerationStdZ	-0.422998473965517
walking	3	fBodyAccelerationMeanFrequencyX	-0.246614196618966
walking	3	fBodyAccelerationMeanFrequencyY	0.171743003017241
walking	3	fBodyAccelerationMeanFrequencyZ	0.0748536557377586
walking	3	fBodyAccelerationJerkMeanX	-0.304694442551724
walking	3	fBodyAccelerationJerkMeanY	-0.140508590224138
walking	3	fBodyAccelerationJerkMeanZ	-0.514137255344828
walking	3	fBodyAccelerationJerkStdX	-0.296596633103448
walking	3	fBodyAccelerationJerkStdY	-0.00561498755362069
walking	3	fBodyAccelerationJerkStdZ	-0.543529108103448
walking	3	fBodyAccelerationJerkMeanFrequencyX	-0.216042668103448
walking	3	fBodyAccelerationJerkMeanFrequencyY	-0.258667984862069
walking	3	fBodyAccelerationJerkMeanFrequencyZ	-0.346946648103448
walking	3	fBodyGyroscopeMeanX	-0.437845763793103
walking	3	fBodyGyroscopeMeanY	-0.561526265344828
walking	3	fBodyGyroscopeMeanZ	-0.418126217413793
walking	3	fBodyGyroscopeStdX	-0.615121369827586
walking	3	fBodyGyroscopeStdY	-0.568888673448276
walking	3	fBodyGyroscopeStdZ	-0.545896388103448
walking	3	fBodyGyroscopeMeanFrequencyX	0.0337596901293103
walking	3	fBodyGyroscopeMeanFrequencyY	-0.0379896505362069
walking	3	fBodyGyroscopeMeanFrequencyZ	-0.0445079738913793
walking	3	fBodyAccelerationMagnitudeMean	-0.290031535172414
walking	3	fBodyAccelerationMagnitudeStd	-0.456373080862069
walking	3	fBodyAccelerationMagnitudeMeanFrequency	0.113494312836207
walking	3	fBodyBodyAccelerationJerkMagnitudeMean	-0.186764516965517
walking	3	fBodyBodyAccelerationJerkMagnitudeStd	-0.0898519904044828
walking	3	fBodyBodyAccelerationJerkMagnitudeMeanFrequency	-0.11716398312069
walking	3	fBodyBodyGyroscopeMagnitudeMean	-0.569755772241379
walking	3	fBodyBodyGyroscopeMagnitudeStd	-0.632643292931034
walking	3	fBodyBodyGyroscopeMagnitudeMeanFrequency	0.180946463034483
walking	3	fBodyBodyGyroscopeJerkMagnitudeMean	-0.607751646034483
walking	3	fBodyBodyGyroscopeJerkMagnitudeStd	-0.549087007931034
walking	3	fBodyBodyGyroscopeJerkMagnitudeMeanFrequency	0.0457622957586207
walking	3	tBodyAccelerationMeanPLUSGravity	0.0527502832051724
walking	3	tBodyAccelerationJerkMeanPLUSGravityMean	-0.0763020648793103
walking	3	tBodyGyroscopeMeanPLUSGravityMean	0.0968438316206897
walking	3	tBodyGyroscopeJerkMeanPLUSGravityMean	-0.0366892195344828
walking	3	XPLUSGravityMean	-0.722804013965517
walking	3	YPLUSGravityMean	0.262491889655172
walking	3	ZPLUSGravityMean	0.117403280068966
walking	4	tBodyAccelerationMeanX	0.278582015166667
walking	4	tBodyAccelerationMeanY	-0.0148399475341667
walking	4	tBodyAccelerationMeanZ	-0.11140306485
walking	4	tBodyAccelerationStdX	-0.440829971333333
walking	4	tBodyAccelerationStdY	-0.0788267367683333
walking	4	tBodyAccelerationStdZ	-0.586252806833333
walking	4	tGravityAccelerationMeanX	0.963999696833333
walking	4	tGravityAccelerationMeanY	-0.0858540265666667
walking	4	tGravityAccelerationMeanZ	0.127764112666667
walking	4	tGravityAccelerationStdX	-0.983826494833333
walking	4	tGravityAccelerationStdY	-0.967963221
walking	4	tGravityAccelerationStdZ	-0.962968112
walking	4	tBodyAccelerationJerkMeanX	0.0783529082183333
walking	4	tBodyAccelerationJerkMeanY	0.00295602428666667
walking	4	tBodyAccelerationJerkMeanZ	-0.000767679338333334
walking	4	tBodyAccelerationJerkStdX	-0.297042612533333
walking	4	tBodyAccelerationJerkStdY	-0.221165131581667
walking	4	tBodyAccelerationJerkStdZ	-0.7513913825
walking	4	tBodyGyroscopeMeanX	-0.0317982557795
walking	4	tBodyGyroscopeMeanY	-0.0726905278583333
walking	4	tBodyGyroscopeMeanZ	0.0805677161216667
walking	4	tBodyGyroscopeStdX	-0.500916659
walking	4	tBodyGyroscopeStdY	-0.665394092833333
walking	4	tBodyGyroscopeStdZ	-0.662608226
walking	4	tBodyGyroscopeJerkMeanX	-0.115321556475
walking	4	tBodyGyroscopeJerkMeanY	-0.0393474489133333
walking	4	tBodyGyroscopeJerkMeanZ	-0.0551166852766667
walking	4	tBodyGyroscopeJerkStdX	-0.492341066833333
walking	4	tBodyGyroscopeJerkStdY	-0.807419937
walking	4	tBodyGyroscopeJerkStdZ	-0.640454132833333
walking	4	tBodyAccelerationMagnitudeMean	-0.312050574166667
walking	4	tBodyAccelerationMagnitudeStd	-0.527679103166667
walking	4	tGravityAccelerationMagnitudeMean	-0.312050574166667
walking	4	tGravityAccelerationMagnitudeStd	-0.527679103166667
walking	4	tBodyAccelerationJerkMagnitudeMean	-0.366700879833333
walking	4	tBodyAccelerationJerkMagnitudeStd	-0.316918956
walking	4	tBodyGyroscopeMagnitudeMean	-0.49779220106
walking	4	tBodyGyroscopeMagnitudeStd	-0.553116111166667
walking	4	tBodyGyroscopeJerkMagnitudeMean	-0.6813040365
walking	4	tBodyGyroscopeJerkMagnitudeStd	-0.7301463685
walking	4	fBodyAccelerationMeanX	-0.426719449666667
walking	4	fBodyAccelerationMeanY	-0.14939963344
walking	4	fBodyAccelerationMeanZ	-0.631005470833333
walking	4	fBodyAccelerationStdX	-0.447234929666667
walking	4	fBodyAccelerationStdY	-0.101799450565167
walking	4	fBodyAccelerationStdZ	-0.594198325666667
walking	4	fBodyAccelerationMeanFrequencyX	-0.13859163673
walking	4	fBodyAccelerationMeanFrequencyY	0.0123477342916667
walking	4	fBodyAccelerationMeanFrequencyZ	-0.0787892636928333
walking	4	fBodyAccelerationJerkMeanX	-0.358883413666667
walking	4	fBodyAccelerationJerkMeanY	-0.279553391533333
walking	4	fBodyAccelerationJerkMeanZ	-0.728991595666667
walking	4	fBodyAccelerationJerkStdX	-0.29732607245
walking	4	fBodyAccelerationJerkStdY	-0.2099000063
walking	4	fBodyAccelerationJerkStdZ	-0.772359087333333
walking	4	fBodyAccelerationJerkMeanFrequencyX	-0.1352803947515
walking	4	fBodyAccelerationJerkMeanFrequencyY	-0.385880862833333
walking	4	fBodyAccelerationJerkMeanFrequencyZ	-0.325737503675
walking	4	fBodyGyroscopeMeanX	-0.373384540666667
walking	4	fBodyGyroscopeMeanY	-0.688460056666667
walking	4	fBodyGyroscopeMeanZ	-0.601381129166667
walking	4	fBodyGyroscopeStdX	-0.542646759
walking	4	fBodyGyroscopeStdY	-0.654657770166667
walking	4	fBodyGyroscopeStdZ	-0.716458475166667
walking	4	fBodyGyroscopeMeanFrequencyX	-0.12715408578
walking	4	fBodyGyroscopeMeanFrequencyY	-0.27466563765
walking	4	fBodyGyroscopeMeanFrequencyZ	0.149851534733333
walking	4	fBodyAccelerationMagnitudeMean	-0.450804558333333
walking	4	fBodyAccelerationMagnitudeStd	-0.651172628166667
walking	4	fBodyAccelerationMagnitudeMeanFrequency	0.382096409966667
walking	4	fBodyBodyAccelerationJerkMagnitudeMean	-0.318587811
walking	4	fBodyBodyAccelerationJerkMagnitudeStd	-0.320458701
walking	4	fBodyBodyAccelerationJerkMagnitudeMeanFrequency	0.111486484954333
walking	4	fBodyBodyGyroscopeMagnitudeMean	-0.609285588016667
walking	4	fBodyBodyGyroscopeMagnitudeStd	-0.593937200833333
walking	4	fBodyBodyGyroscopeMagnitudeMeanFrequency	0.0697301245295
walking	4	fBodyBodyGyroscopeJerkMagnitudeMean	-0.724327420666667
walking	4	fBodyBodyGyroscopeJerkMagnitudeStd	-0.757768081166667
walking	4	fBodyBodyGyroscopeJerkMagnitudeMeanFrequency	0.26535537398
walking	4	tBodyAccelerationMeanPLUSGravity	-0.0120097781333333
walking	4	tBodyAccelerationJerkMeanPLUSGravityMean	0.00092110448333333
walking	4	tBodyGyroscopeMeanPLUSGravityMean	0.0177813678333333
walking	4	tBodyGyroscopeJerkMeanPLUSGravityMean	0.0554159672016667
walking	4	XPLUSGravityMean	-0.865284280666667
walking	4	YPLUSGravityMean	0.1425101785
walking	4	ZPLUSGravityMean	-0.0675179863833333
walking	5	tBodyAccelerationMeanX	0.27784234625
walking	5	tBodyAccelerationMeanY	-0.0172850317482679
walking	5	tBodyAccelerationMeanZ	-0.107741776464286
walking	5	tBodyAccelerationStdX	-0.294098534232143
walking	5	tBodyAccelerationStdY	0.0767484028053571
walking	5	tBodyAccelerationStdZ	-0.45702143625
walking	5	tGravityAccelerationMeanX	0.972624959821429
walking	5	tGravityAccelerationMeanY	-0.100440285303571
walking	5	tGravityAccelerationMeanZ	0.00247623628392857
walking	5	tGravityAccelerationStdX	-0.979348381428571
walking	5	tGravityAccelerationStdY	-0.961585474821429
walking	5	tGravityAccelerationStdZ	-0.964580803928571
walking	5	tBodyAccelerationJerkMeanX	0.0845888833571429
walking	5	tBodyAccelerationJerkMeanY	-0.0163194101232143
walking	5	tBodyAccelerationJerkMeanZ	8.32159351785732e-05
walking	5	tBodyAccelerationJerkStdX	-0.302891024625
walking	5	tBodyAccelerationJerkStdY	-0.0910397428607143
walking	5	tBodyAccelerationJerkStdZ	-0.612895318571429
walking	5	tBodyGyroscopeMeanX	-0.0488919896632143
walking	5	tBodyGyroscopeMeanY	-0.0690135249642857
walking	5	tBodyGyroscopeMeanZ	0.0815435495892857
walking	5	tBodyGyroscopeStdX	-0.490877497857143
walking	5	tBodyGyroscopeStdY	-0.504622029821429
walking	5	tBodyGyroscopeStdZ	-0.318700615178571
walking	5	tBodyGyroscopeJerkMeanX	-0.0888408355267857
walking	5	tBodyGyroscopeJerkMeanY	-0.0449559531089286
walking	5	tBodyGyroscopeJerkMeanZ	-0.0482679596035714
walking	5	tBodyGyroscopeJerkStdX	-0.357681403285714
walking	5	tBodyGyroscopeJerkStdY	-0.57143812375
walking	5	tBodyGyroscopeJerkStdZ	-0.157682543983929
walking	5	tBodyAccelerationMagnitudeMean	-0.158338674394643
walking	5	tBodyAccelerationMagnitudeStd	-0.377178733392857
walking	5	tGravityAccelerationMagnitudeMean	-0.158338674394643
walking	5	tGravityAccelerationMagnitudeStd	-0.377178733392857
walking	5	tBodyAccelerationJerkMagnitudeMean	-0.288333024071429
walking	5	tBodyAccelerationJerkMagnitudeStd	-0.282242276785714
walking	5	tBodyGyroscopeMagnitudeMean	-0.355933083571429
walking	5	tBodyGyroscopeMagnitudeStd	-0.492176823571429
walking	5	tBodyGyroscopeJerkMagnitudeMean	-0.444532485357143
walking	5	tBodyGyroscopeJerkMagnitudeStd	-0.48919974625
walking	5	fBodyAccelerationMeanX	-0.287782607410714
walking	5	fBodyAccelerationMeanY	0.00946037755178572
walking	5	fBodyAccelerationMeanZ	-0.490251090714286
walking	5	fBodyAccelerationStdX	-0.297517355196429
walking	5	fBodyAccelerationStdY	0.0426026830839286
walking	5	fBodyAccelerationStdZ	-0.483059957321429
walking	5	fBodyAccelerationMeanFrequencyX	-0.322382010942857
walking	5	fBodyAccelerationMeanFrequencyY	-0.00204051097321429
walking	5	fBodyAccelerationMeanFrequencyZ	0.0247389728696429
walking	5	fBodyAccelerationJerkMeanX	-0.344954806428571
walking	5	fBodyAccelerationJerkMeanY	-0.181055554206071
walking	5	fBodyAccelerationJerkMeanZ	-0.590496615535714
walking	5	fBodyAccelerationJerkStdX	-0.3213903195
walking	5	fBodyAccelerationJerkStdY	-0.0545213604089286
walking	5	fBodyAccelerationJerkStdZ	-0.633429995714286
walking	5	fBodyAccelerationJerkMeanFrequencyX	-0.359372577678571
walking	5	fBodyAccelerationJerkMeanFrequencyY	-0.534049822678571
walking	5	fBodyAccelerationJerkMeanFrequencyZ	-0.3441509245
walking	5	fBodyGyroscopeMeanX	-0.372668749642857
walking	5	fBodyGyroscopeMeanY	-0.513951718392857
walking	5	fBodyGyroscopeMeanZ	-0.213127031035714
walking	5	fBodyGyroscopeStdX	-0.529392790178571
walking	5	fBodyGyroscopeStdY	-0.502683380535714
walking	5	fBodyGyroscopeStdZ	-0.420367075178571
walking	5	fBodyGyroscopeMeanFrequencyX	-0.0458601936214286
walking	5	fBodyGyroscopeMeanFrequencyY	-0.0191860123089286
walking	5	fBodyGyroscopeMeanFrequencyZ	0.167457819108929
walking	5	fBodyAccelerationMagnitudeMean	-0.304992488892857
walking	5	fBodyAccelerationMagnitudeStd	-0.519636926071429
walking	5	fBodyAccelerationMagnitudeMeanFrequency	0.149852522225
walking	5	fBodyBodyAccelerationJerkMagnitudeMean	-0.269481661080357
walking	5	fBodyBodyAccelerationJerkMagnitudeStd	-0.305685376071429
walking	5	fBodyBodyAccelerationJerkMagnitudeMeanFrequency	-0.00497287788214286
walking	5	fBodyBodyGyroscopeMagnitudeMean	-0.484262828928571
walking	5	fBodyBodyGyroscopeMagnitudeStd	-0.589741506785714
walking	5	fBodyBodyGyroscopeMagnitudeMeanFrequency	0.250620609769643
walking	5	fBodyBodyGyroscopeJerkMagnitudeMean	-0.548053574821429
walking	5	fBodyBodyGyroscopeJerkMagnitudeStd	-0.455665300892857
walking	5	fBodyBodyGyroscopeJerkMagnitudeMeanFrequency	0.0527330125375
walking	5	tBodyAccelerationMeanPLUSGravity	-0.0322868203928571
walking	5	tBodyAccelerationJerkMeanPLUSGravityMean	-0.0117215775714286
walking	5	tBodyGyroscopeMeanPLUSGravityMean	0.0237357261964286
walking	5	tBodyGyroscopeJerkMeanPLUSGravityMean	-0.0348937053392857
walking	5	XPLUSGravityMean	-0.91711397375
walking	5	YPLUSGravityMean	0.152461602857143
walking	5	ZPLUSGravityMean	0.02003381474925
walking	6	tBodyAccelerationMeanX	0.283658868070175
walking	6	tBodyAccelerationMeanY	-0.0168954189082456
walking	6	tBodyAccelerationMeanZ	-0.110303165877193
walking	6	tBodyAccelerationStdX	-0.296538717368421
walking	6	tBodyAccelerationStdY	0.164213884996491
walking	6	tBodyAccelerationStdZ	-0.504324207192982
walking	6	tGravityAccelerationMeanX	0.958067455087719
walking	6	tGravityAccelerationMeanY	-0.214694852280702
walking	6	tGravityAccelerationMeanZ	0.0331888826842105
walking	6	tGravityAccelerationStdX	-0.977779896491228
walking	6	tGravityAccelerationStdY	-0.964248568070175
